trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,volume,market_cap,exchange
2022-02-15,ALPH,Alpha Tech,Technology,-330.42,341.16,329.28,339.18,161733.0,10278264788,NSE
2022-02-16,ALPH,Alpha Tech,Technology,339.38,342.48,337.23,337.36,349565.0,49145723707,NSE
2022-02-17,ALPH,Alpha Tech,Technology,335.24,338.97,332.14,337.13,698782.0,37539581251,NSE
2022-02-18,ALPH,Alpha Tech,Technology,335.57,337.19,331.82,334.28,198907.0,48365987627,NSE
2022-02-21,ALPH,Alpha Tech,Technology,334.73,343.18,334.36,339.96,864491.0,48182336422,NSE
2022-02-22,ALPH,Alpha Tech,Technology,340.48,346.08,337.84,343.61,863587.0,12995822686,NSE
2022-02-23,ALPH,Alpha Tech,Technology,344.65,346.34,343.96,345.84,542374.0,22967944310,NSE
2022-02-24,ALPH,Alpha Tech,Technology,344.48,346.0,343.05,345.41,677057.0,5420514789,NSE
2022-02-25,ALPH,Alpha Tech,Technology,349.14,353.42,347.83,351.04,,14605176768,NSE
2022-02-28,ALPH,Alpha Tech,Technology,349.09,354.55,347.45,352.24,161483.0,31476914824,NSE
2022-03-01,ALPH,Alpha Tech,Technology,354.16,357.46,350.37,,577110.0,31994939890,NSE
2022-03-02,ALPH,Alpha Tech,Technology,351.75,353.52,347.1,348.73,794022.0,38150311114,NSE
2022-03-03,ALPH,Alpha Tech,Technology,348.58,350.49,346.92,349.94,707314.0,42519705477,NSE
2022-03-04,ALPH,Alpha Tech,Technology,349.97,356.31,344.53,355.78,599948.0,43022142410,NSE
2022-03-07,ALPH,Alpha Tech,Technology,357.03,359.17,352.64,353.6,294851.0,43949002537,NSE
2022-03-08,ALPH,Alpha Tech,Technology,353.16,356.96,353.01,356.01,697347.0,44712192532,NSE
2022-03-09,ALPH,Alpha Tech,Technology,354.32,355.21,346.55,348.26,712024.0,41787369523,NSE
2022-03-10,ALPH,Alpha Tech,Technology,348.69,349.03,342.93,343.7,429445.0,23205017565,NSE
2022-03-11,ALPH,Alpha Tech,Technology,341.94,342.67,339.65,342.55,431535.0,13313915483,NSE
2022-03-14,ALPH,Alpha Tech,Technology,343.27,347.68,341.16,,204837.0,39674390752,NSE
2022-03-15,ALPH,Alpha Tech,Technology,339.8,340.83,335.02,336.05,172132.0,21661338819,NSE
2022-03-16,ALPH,Alpha Tech,Technology,337.08,353.63,334.8,352.49,837715.0,44954006886,NSE
2022-03-17,ALPH,Alpha Tech,Technology,354.39,357.63,352.88,357.0,800305.0,42869173914,NSE
2022-03-18,ALPH,Alpha Tech,Technology,355.45,356.42,354.34,354.51,240814.0,10430839791,NSE
2022-03-21,ALPH,Alpha Tech,Technology,359.14,360.51,348.44,351.67,395442.0,20482626219,NSE
2022-03-22,ALPH,Alpha Tech,Technology,350.72,355.21,348.57,355.08,376807.0,37235486449,NSE
2022-03-23,ALPH,Alpha Tech,Technology,353.65,357.83,353.22,356.37,765095.0,6188332531,NSE
2022-03-24,ALPH,Alpha Tech,Technology,356.46,360.75,352.58,,374680.0,41257407433,NSE
2022-03-25,ALPH,Alpha Tech,Technology,352.32,354.39,350.61,353.06,824586.0,17472278250,NSE
2022-03-28,ALPH,Alpha Tech,Technology,351.48,352.49,349.29,351.02,255287.0,15435854487,NSE
2022-03-29,ALPH,Alpha Tech,Technology,348.62,349.57,345.97,,141832.0,30335688384,NSE
2022-03-30,ALPH,Alpha Tech,Technology,354.55,358.69,352.71,356.17,687080.0,21878710453,NSE
2022-03-31,ALPH,Alpha Tech,Technology,360.41,367.58,359.45,364.54,532322.0,13696391226,NSE
2022-04-01,ALPH,Alpha Tech,Technology,367.08,367.96,362.7,364.25,802448.0,21367043690,NSE
2022-04-04,ALPH,Alpha Tech,Technology,362.39,368.88,360.11,362.15,140605.0,38752401015,NSE
2022-04-05,ALPH,Alpha Tech,Technology,361.65,364.91,353.8,356.66,420015.0,21627205835,NSE
2022-04-06,ALPH,Alpha Tech,Technology,355.78,359.18,352.91,356.3,392136.0,13007334921,NSE
2022-04-07,ALPH,Alpha Tech,Technology,358.63,360.63,357.7,358.67,519093.0,42983235469,NSE
2022-04-08,ALPH,Alpha Tech,Technology,-359.07,359.21,355.9,356.67,373903.0,44421648603,NSE
2022-04-11,ALPH,Alpha Tech,Technology,356.89,362.71,354.42,359.54,555673.0,29852519779,NSE
2022-04-12,ALPH,Alpha Tech,Technology,363.81,364.11,354.82,356.0,704596.0,22996251309,NSE
2022-04-13,ALPH,Alpha Tech,Technology,356.56,356.98,353.08,,664607.0,27321095930,NSE
2022-04-14,ALPH,Alpha Tech,Technology,354.82,358.93,353.43,358.22,753425.0,49297930374,NSE
2022-04-15,ALPH,Alpha Tech,Technology,360.02,362.87,358.76,361.25,424308.0,33634086985,NSE
2022-04-18,ALPH,Alpha Tech,Technology,359.59,361.08,356.13,357.35,301158.0,49755476222,NSE
2022-04-19,ALPH,Alpha Tech,Technology,357.31,360.33,356.12,357.78,745414.0,24624157657,NSE
2022-04-20,ALPH,Alpha Tech,Technology,358.87,359.31,355.86,358.06,320392.0,46145721318,NSE
2022-04-21,ALPH,Alpha Tech,Technology,359.71,365.58,359.67,362.97,324082.0,37260246670,NSE
2022-04-22,ALPH,Alpha Tech,Technology,364.33,364.98,362.83,363.09,790855.0,22544063240,NSE
2022-04-25,ALPH,Alpha Tech,Technology,363.28,367.3,359.1,365.66,887625.0,48958425903,NSE
2022-04-26,ALPH,Alpha Tech,Technology,363.65,365.97,357.21,358.79,148458.0,45695400707,NSE
2022-04-27,ALPH,Alpha Tech,Technology,360.04,362.58,358.25,362.56,760356.0,20357389578,NSE
2022-04-28,ALPH,Alpha Tech,Technology,362.71,364.66,359.71,360.0,254739.0,19710890899,NSE
2022-04-29,ALPH,Alpha Tech,Technology,358.35,359.17,355.94,357.06,152657.0,20278941561,NSE
2022-05-02,ALPH,Alpha Tech,Technology,355.42,356.88,354.4,356.39,587213.0,42226962881,NSE
2022-05-03,ALPH,Alpha Tech,Technology,355.45,359.28,352.64,356.38,564071.0,32937809475,NSE
2022-05-04,ALPH,Alpha Tech,Technology,354.94,355.56,351.14,354.09,879779.0,38764863536,NSE
2022-05-05,ALPH,Alpha Tech,Technology,355.8,355.84,353.16,355.16,390782.0,37303736723,NSE
2022-05-06,ALPH,Alpha Tech,Technology,355.13,355.77,352.32,353.97,399607.0,23187011444,NSE
2022-05-09,ALPH,Alpha Tech,Technology,355.01,361.36,354.21,361.14,258157.0,31763064280,NSE
2022-05-10,ALPH,Alpha Tech,Technology,362.52,362.97,360.89,360.92,527398.0,40780863106,NSE
2022-05-11,ALPH,Alpha Tech,Technology,361.11,361.16,357.03,358.02,508396.0,7987248494,NSE
2022-05-12,ALPH,Alpha Tech,Technology,360.92,369.07,359.39,364.76,106182.0,30523881072,NSE
2022-05-13,ALPH,Alpha Tech,Technology,366.51,371.62,364.89,367.24,539375.0,42514967634,NSE
2022-05-16,ALPH,Alpha Tech,Technology,365.56,369.81,362.11,363.16,386193.0,36936672350,NSE
2022-05-17,ALPH,Alpha Tech,Technology,361.64,362.93,357.89,,523956.0,16700269951,NSE
2022-05-18,ALPH,Alpha Tech,Technology,365.06,366.86,361.77,362.75,660069.0,45347009766,NSE
2022-05-19,ALPH,Alpha Tech,Technology,-360.11,369.8,359.18,367.44,242291.0,38787869283,NSE
2022-05-20,ALPH,Alpha Tech,Technology,364.01,369.66,361.54,369.43,576786.0,27878628537,NSE
2022-05-23,ALPH,Alpha Tech,Technology,366.24,366.25,363.75,363.84,542042.0,35416555661,NSE
2022-05-24,ALPH,Alpha Tech,Technology,362.94,367.57,362.66,,466960.0,48912699815,NSE
2022-05-25,ALPH,Alpha Tech,Technology,364.08,367.56,361.83,366.14,,18946975585,NSE
2022-05-26,ALPH,Alpha Tech,Technology,363.07,368.85,361.58,368.18,596564.0,12170271153,NSE
2022-05-27,ALPH,Alpha Tech,Technology,371.29,374.11,371.15,371.75,486814.0,44375354551,NSE
2022-05-30,ALPH,Alpha Tech,Technology,375.87,383.39,373.93,382.89,271720.0,26323313356,NSE
2022-05-31,ALPH,Alpha Tech,Technology,-384.18,391.59,382.81,389.66,810250.0,32381734889,NSE
2022-06-01,ALPH,Alpha Tech,Technology,391.77,394.14,380.66,384.74,757711.0,10337997457,NSE
2022-06-02,ALPH,Alpha Tech,Technology,384.2,390.07,384.05,387.07,226935.0,26651227070,NSE
2022-06-03,ALPH,Alpha Tech,Technology,390.33,393.73,384.7,384.81,778998.0,6465576748,NSE
2022-06-06,ALPH,Alpha Tech,Technology,385.58,389.71,385.27,385.44,479781.0,38624041858,NSE
2022-06-07,ALPH,Alpha Tech,Technology,382.84,386.25,380.96,385.51,782054.0,44814700710,NSE
2022-06-08,ALPH,Alpha Tech,Technology,384.49,384.61,378.34,380.25,556732.0,24724528296,NSE
2022-06-09,ALPH,Alpha Tech,Technology,378.28,381.35,376.69,380.29,392477.0,38851348190,NSE
2022-06-10,ALPH,Alpha Tech,Technology,380.08,381.19,373.54,375.94,497399.0,6444812497,NSE
2022-06-13,ALPH,Alpha Tech,Technology,379.87,381.41,379.44,380.01,472060.0,25606533086,NSE
2022-06-14,ALPH,Alpha Tech,Technology,379.78,381.01,377.39,378.9,389688.0,7387104291,NSE
2022-06-15,ALPH,Alpha Tech,Technology,377.84,378.39,370.93,375.54,526170.0,41458164248,NSE
2022-06-16,ALPH,Alpha Tech,Technology,372.51,381.26,372.01,377.97,614663.0,9369026549,NSE
2022-06-17,ALPH,Alpha Tech,Technology,379.13,386.53,376.89,380.37,796212.0,28972598714,NSE
2022-06-20,ALPH,Alpha Tech,Technology,380.12,383.33,375.89,376.29,882169.0,28838736973,NSE
2022-06-21,ALPH,Alpha Tech,Technology,374.78,376.07,366.93,369.09,341736.0,27301979713,NSE
2022-06-22,ALPH,Alpha Tech,Technology,372.47,376.01,369.51,375.99,294143.0,18707564104,NSE
2022-06-23,ALPH,Alpha Tech,Technology,376.15,379.19,371.62,372.7,897135.0,45908003859,NSE
2022-06-24,ALPH,Alpha Tech,Technology,370.63,372.38,367.1,369.87,338533.0,15139906978,NSE
2022-06-27,ALPH,Alpha Tech,Technology,371.72,382.15,370.59,379.36,147726.0,9184564874,NSE
2022-06-28,ALPH,Alpha Tech,Technology,378.06,379.24,374.38,376.11,889359.0,11403275248,NSE
2022-06-29,ALPH,Alpha Tech,Technology,376.2,376.75,372.78,372.88,561865.0,15053255453,NSE
2022-06-30,ALPH,Alpha Tech,Technology,372.4,373.56,367.26,368.77,219629.0,12825927132,NSE
2022-07-01,ALPH,Alpha Tech,Technology,369.77,369.97,364.36,365.86,156213.0,14241597139,NSE
2022-07-04,ALPH,Alpha Tech,Technology,362.53,366.02,361.38,364.7,360247.0,39868483952,NSE
2022-07-05,ALPH,Alpha Tech,Technology,363.17,366.43,355.86,355.95,336650.0,42691316753,NSE
2022-07-06,ALPH,Alpha Tech,Technology,356.47,357.75,349.53,352.85,717113.0,35021955664,NSE
2022-07-07,ALPH,Alpha Tech,Technology,352.72,354.03,347.78,347.88,876039.0,21160832811,NSE
2022-07-08,ALPH,Alpha Tech,Technology,346.16,348.17,343.47,344.62,351516.0,40106261881,NSE
2022-07-11,ALPH,Alpha Tech,Technology,-346.29,347.35,338.89,341.77,722656.0,24198127913,NSE
2022-07-12,ALPH,Alpha Tech,Technology,336.83,337.98,333.23,,576086.0,48255387696,NSE
2022-07-13,ALPH,Alpha Tech,Technology,342.51,342.69,339.79,340.1,718439.0,21894977405,NSE
2022-07-14,ALPH,Alpha Tech,Technology,342.43,344.13,341.61,343.45,378535.0,17140288395,NSE
2022-07-15,ALPH,Alpha Tech,Technology,342.48,343.27,339.9,340.75,885339.0,47194790793,NSE
2022-07-18,ALPH,Alpha Tech,Technology,341.33,351.37,340.67,349.63,418862.0,33775137057,NSE
2022-07-19,ALPH,Alpha Tech,Technology,352.03,356.11,348.38,350.4,184349.0,7568547910,NSE
2022-07-20,ALPH,Alpha Tech,Technology,346.66,346.69,341.9,345.25,127121.0,18277147885,NSE
2022-07-21,ALPH,Alpha Tech,Technology,345.9,347.56,340.6,345.03,121753.0,44812246702,NSE
2022-07-22,ALPH,Alpha Tech,Technology,345.5,351.54,343.21,,783157.0,14784607993,NSE
2022-07-25,ALPH,Alpha Tech,Technology,345.7,346.97,339.5,344.04,195674.0,28493515764,NSE
2022-07-26,ALPH,Alpha Tech,Technology,344.41,346.32,342.71,345.4,268637.0,32186299738,NSE
2022-07-27,ALPH,Alpha Tech,Technology,347.06,347.2,342.68,343.64,897441.0,7362646960,NSE
2022-07-28,ALPH,Alpha Tech,Technology,344.59,348.0,343.57,345.93,523808.0,43074501048,NSE
2022-07-29,ALPH,Alpha Tech,Technology,-345.39,346.28,340.72,341.47,584417.0,6774884818,NSE
2022-08-01,ALPH,Alpha Tech,Technology,342.99,344.73,336.59,339.3,755788.0,18106572796,NSE
2022-08-02,ALPH,Alpha Tech,Technology,340.13,349.18,337.64,347.63,832168.0,11376788621,NSE
2022-08-03,ALPH,Alpha Tech,Technology,344.08,351.37,343.96,,844261.0,22860098229,NSE
2022-08-04,ALPH,Alpha Tech,Technology,348.19,353.08,343.43,343.69,218972.0,48454186211,NSE
2022-08-05,ALPH,Alpha Tech,Technology,343.91,347.77,343.46,346.81,633590.0,25209589070,NSE
2022-08-08,ALPH,Alpha Tech,Technology,345.23,350.88,342.54,347.12,578975.0,15957600064,NSE
2022-08-09,ALPH,Alpha Tech,Technology,350.3,352.28,348.01,348.26,243139.0,13005934729,NSE
2022-08-10,ALPH,Alpha Tech,Technology,348.37,356.13,345.31,352.75,632401.0,22190886889,NSE
2022-08-11,ALPH,Alpha Tech,Technology,352.43,354.46,347.41,350.72,791998.0,35702983522,NSE
2022-08-12,ALPH,Alpha Tech,Technology,352.37,355.24,349.78,352.66,669827.0,36684875927,NSE
2022-08-15,ALPH,Alpha Tech,Technology,351.99,359.19,348.99,358.67,350405.0,33225655965,NSE
2022-08-16,ALPH,Alpha Tech,Technology,358.18,363.57,356.98,357.09,,38263255345,NSE
2022-08-17,ALPH,Alpha Tech,Technology,356.62,363.11,354.37,359.41,795928.0,35718058447,NSE
2022-08-18,ALPH,Alpha Tech,Technology,358.87,364.02,354.33,354.44,448121.0,13030301719,NSE
2022-08-19,ALPH,Alpha Tech,Technology,354.47,354.87,354.09,354.38,579123.0,31388946574,NSE
2022-08-22,ALPH,Alpha Tech,Technology,353.23,353.29,349.95,351.04,377896.0,45108815089,NSE
2022-08-23,ALPH,Alpha Tech,Technology,349.62,350.55,346.61,350.04,807115.0,43050584958,NSE
2022-08-24,ALPH,Alpha Tech,Technology,344.74,351.6,340.59,349.11,896290.0,7323646093,NSE
2022-08-25,ALPH,Alpha Tech,Technology,348.42,351.24,345.38,346.93,401338.0,22168813611,NSE
2022-08-26,ALPH,Alpha Tech,Technology,344.71,353.59,342.17,351.72,764532.0,35496446382,NSE
2022-08-29,ALPH,Alpha Tech,Technology,353.17,354.21,347.67,348.65,,22420899426,NSE
2022-08-30,ALPH,Alpha Tech,Technology,346.21,349.54,345.46,349.06,532067.0,16993779814,NSE
2022-08-31,ALPH,Alpha Tech,Technology,350.48,352.98,348.16,352.26,749813.0,20818942571,NSE
2022-09-01,ALPH,Alpha Tech,Technology,350.09,353.74,349.48,352.56,768891.0,36155595445,NSE
2022-09-02,ALPH,Alpha Tech,Technology,-353.21,355.06,347.84,348.21,401603.0,42270054959,NSE
2022-09-05,ALPH,Alpha Tech,Technology,347.16,352.76,344.34,351.36,716113.0,49234530666,NSE
2022-09-06,ALPH,Alpha Tech,Technology,348.24,353.23,344.73,350.67,416797.0,11370330117,NSE
2022-09-07,ALPH,Alpha Tech,Technology,346.5,353.71,346.31,353.29,833247.0,6268006448,NSE
2022-09-08,ALPH,Alpha Tech,Technology,352.2,353.87,349.99,353.8,693419.0,9181592277,NSE
2022-09-09,ALPH,Alpha Tech,Technology,354.02,355.35,353.91,354.63,400096.0,44643056638,NSE
2022-09-12,ALPH,Alpha Tech,Technology,355.24,357.94,346.91,348.4,362801.0,17190565105,NSE
2022-09-13,ALPH,Alpha Tech,Technology,348.74,348.78,347.31,348.01,423939.0,38451827316,NSE
2022-09-14,ALPH,Alpha Tech,Technology,346.93,347.32,341.86,,409445.0,15374506784,NSE
2022-09-15,ALPH,Alpha Tech,Technology,348.82,350.88,341.07,342.01,483629.0,41639731966,NSE
2022-09-16,ALPH,Alpha Tech,Technology,342.52,349.79,340.5,346.46,605254.0,30213162960,NSE
2022-09-19,ALPH,Alpha Tech,Technology,342.77,344.02,337.6,337.66,890785.0,22035988702,NSE
2022-09-20,ALPH,Alpha Tech,Technology,338.69,339.06,334.28,335.79,684384.0,10865959195,NSE
2022-09-21,ALPH,Alpha Tech,Technology,-334.56,336.41,326.23,328.94,576877.0,49532736317,NSE
2022-09-22,ALPH,Alpha Tech,Technology,326.99,333.1,321.72,331.2,769567.0,30513359423,NSE
2022-09-23,ALPH,Alpha Tech,Technology,332.19,334.64,330.79,332.93,,28886062820,NSE
2022-09-26,ALPH,Alpha Tech,Technology,331.78,337.38,331.58,332.26,586819.0,49247569863,NSE
2022-09-27,ALPH,Alpha Tech,Technology,334.56,334.63,328.21,331.75,419149.0,39342246566,NSE
2022-09-28,ALPH,Alpha Tech,Technology,330.5,339.16,329.37,337.74,507524.0,28423221574,NSE
2022-09-29,ALPH,Alpha Tech,Technology,339.01,344.14,335.87,342.9,539486.0,16710654191,NSE
2022-09-30,ALPH,Alpha Tech,Technology,341.45,341.59,339.21,340.46,745558.0,26266623031,NSE
2022-10-03,ALPH,Alpha Tech,Technology,340.81,341.57,334.25,,347582.0,30148967081,NSE
2022-10-04,ALPH,Alpha Tech,Technology,341.58,347.57,340.66,345.9,776149.0,6540492440,NSE
2022-10-05,ALPH,Alpha Tech,Technology,345.76,346.62,338.7,339.11,576805.0,48343407307,NSE
2022-10-06,ALPH,Alpha Tech,Technology,339.66,341.82,332.44,334.55,153035.0,29854093531,NSE
2022-10-07,ALPH,Alpha Tech,Technology,334.47,337.25,334.41,337.2,171942.0,20265206210,NSE
2022-10-10,ALPH,Alpha Tech,Technology,339.07,339.27,336.09,337.01,254721.0,7559721644,NSE
2022-10-11,ALPH,Alpha Tech,Technology,336.14,336.58,333.95,334.9,666456.0,10044426727,NSE
2022-10-12,ALPH,Alpha Tech,Technology,-337.42,337.79,332.96,333.84,,44676614119,NSE
2022-10-13,ALPH,Alpha Tech,Technology,336.73,339.58,333.76,337.52,877747.0,41167750206,NSE
2022-10-14,ALPH,Alpha Tech,Technology,338.05,341.77,335.92,341.61,479625.0,45859045895,NSE
2022-10-17,ALPH,Alpha Tech,Technology,340.58,350.81,339.85,346.21,145471.0,42189705526,NSE
2022-10-18,ALPH,Alpha Tech,Technology,345.32,354.29,344.28,351.14,,39353668542,NSE
2022-10-19,ALPH,Alpha Tech,Technology,350.29,352.98,347.33,349.17,847006.0,38971906371,NSE
2022-10-20,ALPH,Alpha Tech,Technology,347.16,347.23,343.62,344.09,168872.0,22721857932,NSE
2022-10-21,ALPH,Alpha Tech,Technology,347.19,349.16,342.77,343.2,499407.0,47926599338,NSE
2022-10-24,ALPH,Alpha Tech,Technology,343.1,348.04,342.33,345.8,203996.0,21602163102,NSE
2022-10-25,ALPH,Alpha Tech,Technology,346.13,348.68,341.22,348.1,575528.0,32482336873,NSE
2022-10-26,ALPH,Alpha Tech,Technology,346.82,348.07,343.59,344.7,367271.0,48605252140,NSE
2022-10-27,ALPH,Alpha Tech,Technology,343.42,351.02,342.28,348.18,197758.0,11149862817,NSE
2022-10-28,ALPH,Alpha Tech,Technology,346.52,349.51,345.25,348.4,162894.0,41771733650,NSE
2022-10-31,ALPH,Alpha Tech,Technology,348.81,351.9,339.15,342.74,797660.0,44890064558,NSE
2022-11-01,ALPH,Alpha Tech,Technology,341.52,342.09,339.3,339.97,262246.0,37885432003,NSE
2022-11-02,ALPH,Alpha Tech,Technology,341.29,349.68,339.69,349.33,485415.0,44851147037,NSE
2022-11-03,ALPH,Alpha Tech,Technology,346.57,346.63,340.05,343.64,751924.0,42120110251,NSE
2022-11-04,ALPH,Alpha Tech,Technology,342.61,343.54,340.23,,380439.0,13714287574,NSE
2022-11-07,ALPH,Alpha Tech,Technology,348.7,349.68,344.49,346.57,468074.0,13616158752,NSE
2022-11-08,ALPH,Alpha Tech,Technology,347.94,356.49,347.22,355.32,248766.0,9173893550,NSE
2022-11-09,ALPH,Alpha Tech,Technology,356.51,362.58,355.49,360.94,575682.0,15054071702,NSE
2022-11-10,ALPH,Alpha Tech,Technology,363.07,370.52,361.78,367.75,695164.0,11855728924,NSE
2022-11-11,ALPH,Alpha Tech,Technology,367.42,370.42,365.78,368.0,152179.0,12189640892,NSE
2022-11-14,ALPH,Alpha Tech,Technology,368.74,368.8,364.61,367.17,563516.0,23958774803,NSE
2022-11-15,ALPH,Alpha Tech,Technology,367.55,370.46,366.06,367.74,216276.0,49166207292,NSE
2022-11-16,ALPH,Alpha Tech,Technology,369.03,378.3,368.59,377.68,147623.0,31716923263,NSE
2022-11-17,ALPH,Alpha Tech,Technology,378.18,384.68,377.62,384.49,321494.0,16885675712,NSE
2022-11-18,ALPH,Alpha Tech,Technology,385.7,387.34,385.32,386.45,621546.0,33978204992,NSE
2022-11-21,ALPH,Alpha Tech,Technology,388.6,388.86,383.09,384.49,624563.0,10816103727,NSE
2022-11-22,ALPH,Alpha Tech,Technology,386.88,388.0,380.03,380.79,582087.0,13251329836,NSE
2022-11-23,ALPH,Alpha Tech,Technology,383.92,385.03,379.89,383.66,843963.0,33519191305,NSE
2022-11-24,ALPH,Alpha Tech,Technology,380.76,381.64,370.96,371.97,280222.0,37719598861,NSE
2022-11-25,ALPH,Alpha Tech,Technology,369.92,373.24,368.8,372.76,211005.0,31814840073,NSE
2022-11-28,ALPH,Alpha Tech,Technology,370.2,374.99,370.0,373.69,425346.0,29678043830,NSE
2022-11-29,ALPH,Alpha Tech,Technology,377.38,380.43,371.72,373.1,763984.0,39849479056,NSE
2022-11-30,ALPH,Alpha Tech,Technology,373.01,374.46,372.3,373.98,862712.0,18519224897,NSE
2022-12-01,ALPH,Alpha Tech,Technology,371.48,377.42,369.24,377.25,260295.0,12110357084,NSE
2022-12-02,ALPH,Alpha Tech,Technology,377.94,380.91,377.04,379.77,891093.0,37553567566,NSE
2022-12-05,ALPH,Alpha Tech,Technology,381.05,386.76,379.63,386.37,754858.0,14947740818,NSE
2022-12-06,ALPH,Alpha Tech,Technology,386.19,393.3,382.59,391.95,388016.0,7540128512,NSE
2022-12-07,ALPH,Alpha Tech,Technology,391.87,392.12,384.78,386.15,139434.0,26719177398,NSE
2022-12-08,ALPH,Alpha Tech,Technology,387.83,388.72,381.44,385.22,194682.0,46296146564,NSE
2022-12-09,ALPH,Alpha Tech,Technology,384.31,387.48,373.1,374.62,874814.0,8847761430,NSE
2022-12-12,ALPH,Alpha Tech,Technology,376.19,379.82,376.09,377.89,437145.0,37663251345,NSE
2022-12-13,ALPH,Alpha Tech,Technology,377.88,380.89,371.49,373.25,460120.0,39721929218,NSE
2022-12-14,ALPH,Alpha Tech,Technology,-372.81,373.33,368.72,372.91,560767.0,41610595677,NSE
2022-12-15,ALPH,Alpha Tech,Technology,372.42,374.42,369.13,369.69,506235.0,49402948787,NSE
2022-12-16,ALPH,Alpha Tech,Technology,373.29,376.99,372.14,375.85,169113.0,10710978329,NSE
2022-12-19,ALPH,Alpha Tech,Technology,378.65,382.47,377.36,382.35,788457.0,27120685006,NSE
2022-12-20,ALPH,Alpha Tech,Technology,383.74,387.11,382.47,385.32,425301.0,15273381316,NSE
2022-12-21,ALPH,Alpha Tech,Technology,387.42,390.05,384.88,385.28,494976.0,48498542981,NSE
2022-12-22,ALPH,Alpha Tech,Technology,389.43,392.9,386.27,386.67,651963.0,48351050396,NSE
2022-12-23,ALPH,Alpha Tech,Technology,385.37,386.01,382.58,383.43,,14916504284,NSE
2022-12-26,ALPH,Alpha Tech,Technology,384.48,384.53,377.9,382.18,301332.0,14180773308,NSE
2022-12-27,ALPH,Alpha Tech,Technology,385.64,387.46,385.4,387.38,665990.0,43155124371,NSE
2022-12-28,ALPH,Alpha Tech,Technology,388.61,389.13,381.18,,237414.0,33334957721,NSE
2022-12-29,ALPH,Alpha Tech,Technology,388.18,391.74,385.03,390.77,755087.0,6879792991,NSE
