trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,volume,market_cap,exchange,daily_return,ma_5,ma_20
2022-02-23,ALPH,Alpha Tech,Technology,344.65,346.34,343.96,345.84,542374.0,22967944310,NSE,0.0034527781807630865,340.164,332.498
2022-02-24,ALPH,Alpha Tech,Technology,344.48,346.0,343.05,345.41,677057.0,5420514789,NSE,0.0026997213190896622,341.82,333.697
2022-02-28,ALPH,Alpha Tech,Technology,349.09,354.55,347.45,352.24,161483.0,31476914824,NSE,0.009023460998596449,345.412,334.885
2022-03-02,ALPH,Alpha Tech,Technology,351.75,353.52,347.1,348.73,794022.0,38150311114,NSE,-0.008585643212508832,347.166,335.98999999999995
2022-03-03,ALPH,Alpha Tech,Technology,348.58,350.49,346.92,349.94,707314.0,42519705477,NSE,0.0039015434046704165,348.43199999999996,336.8465
2022-03-04,ALPH,Alpha Tech,Technology,349.97,356.31,344.53,355.78,599948.0,43022142410,NSE,0.016601422979112337,350.41999999999996,337.9965
2022-03-07,ALPH,Alpha Tech,Technology,357.03,359.17,352.64,353.6,294851.0,43949002537,NSE,-0.00960703582332003,352.05800000000005,339.169
2022-03-08,ALPH,Alpha Tech,Technology,353.16,356.96,353.01,356.01,697347.0,44712192532,NSE,0.008069996602106597,352.812,340.598
2022-03-09,ALPH,Alpha Tech,Technology,354.32,355.21,346.55,348.26,712024.0,41787369523,NSE,-0.017103183562881017,352.71799999999996,341.5575
2022-03-10,ALPH,Alpha Tech,Technology,348.69,349.03,342.93,343.7,429445.0,23205017565,NSE,-0.014310705784507756,351.46999999999997,342.5145
2022-03-11,ALPH,Alpha Tech,Technology,341.94,342.67,339.65,342.55,431535.0,13313915483,NSE,0.0017839387026964194,348.824,343.3495
2022-03-15,ALPH,Alpha Tech,Technology,339.8,340.83,335.02,336.05,172132.0,21661338819,NSE,-0.011035903472630958,345.31399999999996,343.8485
2022-03-16,ALPH,Alpha Tech,Technology,337.08,353.63,334.8,352.49,837715.0,44954006886,NSE,0.04571615046873154,344.61,344.671
2022-03-17,ALPH,Alpha Tech,Technology,354.39,357.63,352.88,357.0,800305.0,42869173914,NSE,0.007364767628883473,346.358,345.956
2022-03-18,ALPH,Alpha Tech,Technology,355.45,356.42,354.34,354.51,240814.0,10430839791,NSE,-0.0026445350963567246,348.52000000000004,346.72249999999997
2022-03-21,ALPH,Alpha Tech,Technology,359.14,360.51,348.44,351.67,395442.0,20482626219,NSE,-0.020799688143899233,350.344,347.438
2022-03-22,ALPH,Alpha Tech,Technology,350.72,355.21,348.57,355.08,376807.0,37235486449,NSE,0.012431569343065569,354.15,348.3355
2022-03-23,ALPH,Alpha Tech,Technology,353.65,357.83,353.22,356.37,765095.0,6188332531,NSE,0.007691220132899837,354.92600000000004,349.44
2022-03-25,ALPH,Alpha Tech,Technology,352.32,354.39,350.61,353.06,824586.0,17472278250,NSE,0.0021003633060854027,354.13800000000003,350.095
2022-03-28,ALPH,Alpha Tech,Technology,351.48,352.49,349.29,351.02,255287.0,15435854487,NSE,-0.001308751564811757,353.44,350.46549999999996
2022-03-30,ALPH,Alpha Tech,Technology,354.55,358.69,352.71,356.17,687080.0,21878710453,NSE,0.0045691721901001394,354.34,350.982
2022-03-31,ALPH,Alpha Tech,Technology,360.41,367.58,359.45,364.54,532322.0,13696391226,NSE,0.011459171499125982,356.232,351.9385
2022-04-01,ALPH,Alpha Tech,Technology,367.08,367.96,362.7,364.25,802448.0,21367043690,NSE,-0.00770949111910206,357.808,352.539
2022-04-04,ALPH,Alpha Tech,Technology,362.39,368.88,360.11,362.15,140605.0,38752401015,NSE,-0.0006622699301857366,359.626,353.21000000000004
2022-04-05,ALPH,Alpha Tech,Technology,361.65,364.91,353.8,356.66,420015.0,21627205835,NSE,-0.013797870869625197,360.754,353.546
2022-04-06,ALPH,Alpha Tech,Technology,355.78,359.18,352.91,356.3,392136.0,13007334921,NSE,0.0014615773792794387,360.78,353.572
2022-04-07,ALPH,Alpha Tech,Technology,358.63,360.63,357.7,358.67,519093.0,42983235469,NSE,0.00011153556590363456,359.606,353.82550000000003
2022-04-08,ALPH,Alpha Tech,Technology,-359.07,359.21,355.9,356.67,373903.0,44421648603,NSE,-1.9933160665051384,358.09000000000003,353.8585
2022-04-11,ALPH,Alpha Tech,Technology,356.89,362.71,354.42,359.54,555673.0,29852519779,NSE,0.007425257082014162,357.56800000000004,354.4225
2022-04-12,ALPH,Alpha Tech,Technology,363.81,364.11,354.82,356.0,704596.0,22996251309,NSE,-0.021467249388417035,357.43600000000004,355.0375
2022-04-14,ALPH,Alpha Tech,Technology,354.82,358.93,353.43,358.22,753425.0,49297930374,NSE,0.009582323431599217,357.82000000000005,355.821
2022-04-15,ALPH,Alpha Tech,Technology,360.02,362.87,358.76,361.25,424308.0,33634086985,NSE,0.003416476862396584,358.336,357.081
2022-04-18,ALPH,Alpha Tech,Technology,359.59,361.08,356.13,357.35,301158.0,49755476222,NSE,-0.006229316721821943,358.47200000000004,357.324
2022-04-19,ALPH,Alpha Tech,Technology,357.31,360.33,356.12,357.78,745414.0,24624157657,NSE,0.0013153844001006702,358.12,357.363
2022-04-20,ALPH,Alpha Tech,Technology,358.87,359.31,355.86,358.06,320392.0,46145721318,NSE,-0.0022570847382060418,358.53200000000004,357.5405
2022-04-21,ALPH,Alpha Tech,Technology,359.71,365.58,359.67,362.97,324082.0,37260246670,NSE,0.009062856189708509,359.482,358.1055
2022-04-22,ALPH,Alpha Tech,Technology,364.33,364.98,362.83,363.09,790855.0,22544063240,NSE,-0.003403507808854635,359.85,358.506
2022-04-25,ALPH,Alpha Tech,Technology,363.28,367.3,359.1,365.66,887625.0,48958425903,NSE,0.006551420391984289,361.51200000000006,358.9705
2022-04-26,ALPH,Alpha Tech,Technology,363.65,365.97,357.21,358.79,148458.0,45695400707,NSE,-0.013364498831293708,361.71400000000006,359.25699999999995
2022-04-27,ALPH,Alpha Tech,Technology,360.04,362.58,358.25,362.56,760356.0,20357389578,NSE,0.006999222308632323,362.614,359.834
2022-04-28,ALPH,Alpha Tech,Technology,362.71,364.66,359.71,360.0,254739.0,19710890899,NSE,-0.00747153373218268,362.02,360.0255
2022-04-29,ALPH,Alpha Tech,Technology,358.35,359.17,355.94,357.06,152657.0,20278941561,NSE,-0.003599832565927223,360.814,359.65150000000006
2022-05-02,ALPH,Alpha Tech,Technology,355.42,356.88,354.4,356.39,587213.0,42226962881,NSE,0.0027291654943446355,358.96,359.2585
2022-05-03,ALPH,Alpha Tech,Technology,355.45,359.28,352.64,356.38,564071.0,32937809475,NSE,0.0026164017442678487,358.47799999999995,358.96999999999997
2022-05-04,ALPH,Alpha Tech,Technology,354.94,355.56,351.14,354.09,879779.0,38764863536,NSE,-0.002394770947202408,356.784,358.8415
2022-05-05,ALPH,Alpha Tech,Technology,355.8,355.84,353.16,355.16,390782.0,37303736723,NSE,-0.0017987633501967014,355.816,358.7845
2022-05-06,ALPH,Alpha Tech,Technology,355.13,355.77,352.32,353.97,399607.0,23187011444,NSE,-0.0032664094838508947,355.19800000000004,358.5495
2022-05-09,ALPH,Alpha Tech,Technology,355.01,361.36,354.21,361.14,258157.0,31763064280,NSE,0.017267119236077846,356.148,358.773
2022-05-10,ALPH,Alpha Tech,Technology,362.52,362.97,360.89,360.92,527398.0,40780863106,NSE,-0.004413549597263505,357.05600000000004,358.842
2022-05-11,ALPH,Alpha Tech,Technology,361.11,361.16,357.03,358.02,508396.0,7987248494,NSE,-0.00855694940599826,357.842,358.94300000000004
2022-05-12,ALPH,Alpha Tech,Technology,360.92,369.07,359.39,364.76,106182.0,30523881072,NSE,0.010639476892386054,359.76200000000006,359.27000000000004
2022-05-13,ALPH,Alpha Tech,Technology,366.51,371.62,364.89,367.24,539375.0,42514967634,NSE,0.001991760115685843,362.41600000000005,359.5695
2022-05-16,ALPH,Alpha Tech,Technology,365.56,369.81,362.11,363.16,386193.0,36936672350,NSE,-0.006565269723164398,362.82,359.86
2022-05-18,ALPH,Alpha Tech,Technology,365.06,366.86,361.77,362.75,660069.0,45347009766,NSE,-0.006327726948994692,363.186,360.1085
2022-05-19,ALPH,Alpha Tech,Technology,-360.11,369.8,359.18,367.44,242291.0,38787869283,NSE,-2.0203548915609115,365.07,360.5775
2022-05-20,ALPH,Alpha Tech,Technology,364.01,369.66,361.54,369.43,576786.0,27878628537,NSE,0.014889700832394758,366.004,360.9005
2022-05-23,ALPH,Alpha Tech,Technology,366.24,366.25,363.75,363.84,542042.0,35416555661,NSE,-0.006553079947575454,365.32399999999996,360.938
2022-05-26,ALPH,Alpha Tech,Technology,363.07,368.85,361.58,368.18,596564.0,12170271153,NSE,0.014074420910568248,366.32800000000003,361.064
2022-05-27,ALPH,Alpha Tech,Technology,371.29,374.11,371.15,371.75,486814.0,44375354551,NSE,0.001238923752322927,368.128,361.712
2022-05-30,ALPH,Alpha Tech,Technology,375.87,383.39,373.93,382.89,271720.0,26323313356,NSE,0.018676670125309235,371.218,362.7285
2022-05-31,ALPH,Alpha Tech,Technology,-384.18,391.59,382.81,389.66,810250.0,32381734889,NSE,-2.0142641470144205,375.264,364.2115
2022-06-01,ALPH,Alpha Tech,Technology,391.77,394.14,380.66,384.74,757711.0,10337997457,NSE,-0.017944201955228764,379.444,365.5955
2022-06-02,ALPH,Alpha Tech,Technology,384.2,390.07,384.05,387.07,226935.0,26651227070,NSE,0.007470067673086946,383.22200000000004,367.1295
2022-06-03,ALPH,Alpha Tech,Technology,390.33,393.73,384.7,384.81,778998.0,6465576748,NSE,-0.014141879947736484,385.834,368.55100000000004
2022-06-06,ALPH,Alpha Tech,Technology,385.58,389.71,385.27,385.44,479781.0,38624041858,NSE,-0.00036308937185535134,386.34400000000005,370.1185
2022-06-07,ALPH,Alpha Tech,Technology,382.84,386.25,380.96,385.51,782054.0,44814700710,NSE,0.006974192874307847,385.514,371.636
2022-06-08,ALPH,Alpha Tech,Technology,384.49,384.61,378.34,380.25,556732.0,24724528296,NSE,-0.011027594995968708,384.616,372.95
2022-06-09,ALPH,Alpha Tech,Technology,378.28,381.35,376.69,380.29,392477.0,38851348190,NSE,0.005313524373480089,383.26,373.9075
2022-06-10,ALPH,Alpha Tech,Technology,380.08,381.19,373.54,375.94,497399.0,6444812497,NSE,-0.010892443696063951,381.486,374.6585
2022-06-13,ALPH,Alpha Tech,Technology,379.87,381.41,379.44,380.01,472060.0,25606533086,NSE,0.000368547134545993,380.4,375.758
2022-06-14,ALPH,Alpha Tech,Technology,379.78,381.01,377.39,378.9,389688.0,7387104291,NSE,-0.0023171309705618923,379.07800000000003,376.465
2022-06-15,ALPH,Alpha Tech,Technology,377.84,378.39,370.93,375.54,526170.0,41458164248,NSE,-0.006087232691086054,378.13599999999997,376.88
2022-06-16,ALPH,Alpha Tech,Technology,372.51,381.26,372.01,377.97,614663.0,9369026549,NSE,0.014657324635580352,377.67199999999997,377.6205
2022-06-17,ALPH,Alpha Tech,Technology,379.13,386.53,376.89,380.37,796212.0,28972598714,NSE,0.0032706459525756577,378.55800000000005,378.50149999999996
2022-06-20,ALPH,Alpha Tech,Technology,380.12,383.33,375.89,376.29,882169.0,28838736973,NSE,-0.01007576554772173,377.814,378.94399999999996
2022-06-21,ALPH,Alpha Tech,Technology,374.78,376.07,366.93,369.09,341736.0,27301979713,NSE,-0.015182240247611927,375.852,378.927
2022-06-22,ALPH,Alpha Tech,Technology,372.47,376.01,369.51,375.99,294143.0,18707564104,NSE,0.009450425537627143,375.942,379.53450000000004
2022-06-23,ALPH,Alpha Tech,Technology,376.15,379.19,371.62,372.7,897135.0,45908003859,NSE,-0.009171872923035992,374.88800000000003,379.7605
2022-06-24,ALPH,Alpha Tech,Technology,370.63,372.38,367.1,369.87,338533.0,15139906978,NSE,-0.0020505625556484657,372.788,379.6665
2022-06-27,ALPH,Alpha Tech,Technology,371.72,382.15,370.59,379.36,147726.0,9184564874,NSE,0.020553104487248428,373.402,379.49
2022-06-28,ALPH,Alpha Tech,Technology,378.06,379.24,374.38,376.11,889359.0,11403275248,NSE,-0.0051579114426281245,374.80600000000004,378.8125
2022-06-29,ALPH,Alpha Tech,Technology,376.2,376.75,372.78,372.88,561865.0,15053255453,NSE,-0.008825093035619333,374.184,378.2195
2022-06-30,ALPH,Alpha Tech,Technology,372.4,373.56,367.26,368.77,219629.0,12825927132,NSE,-0.009747583243823833,373.398,377.3045
2022-07-01,ALPH,Alpha Tech,Technology,369.77,369.97,364.36,365.86,156213.0,14241597139,NSE,-0.01057414068204551,372.596,376.35699999999997
2022-07-04,ALPH,Alpha Tech,Technology,362.53,366.02,361.38,364.7,360247.0,39868483952,NSE,0.005985711527321921,369.664,375.32000000000005
2022-07-05,ALPH,Alpha Tech,Technology,363.17,366.43,355.86,355.95,336650.0,42691316753,NSE,-0.01988049673706536,365.632,373.842
2022-07-06,ALPH,Alpha Tech,Technology,356.47,357.75,349.53,352.85,717113.0,35021955664,NSE,-0.010155132269195176,361.62600000000003,372.472
2022-07-07,ALPH,Alpha Tech,Technology,352.72,354.03,347.78,347.88,876039.0,21160832811,NSE,-0.013721932410977635,357.448,370.8515
2022-07-08,ALPH,Alpha Tech,Technology,346.16,348.17,343.47,344.62,351516.0,40106261881,NSE,-0.004448809798936967,353.2,369.2855
2022-07-11,ALPH,Alpha Tech,Technology,-346.29,347.35,338.89,341.77,722656.0,24198127913,NSE,-1.9869473562620923,348.61400000000003,367.37350000000004
2022-07-13,ALPH,Alpha Tech,Technology,342.51,342.69,339.79,340.1,718439.0,21894977405,NSE,-0.0070362909112141785,345.444,365.4335
2022-07-14,ALPH,Alpha Tech,Technology,342.43,344.13,341.61,343.45,378535.0,17140288395,NSE,0.0029787109774259903,343.56399999999996,363.829
2022-07-15,ALPH,Alpha Tech,Technology,342.48,343.27,339.9,340.75,885339.0,47194790793,NSE,-0.005051389862181786,342.13800000000003,361.968
2022-07-18,ALPH,Alpha Tech,Technology,341.33,351.37,340.67,349.63,418862.0,33775137057,NSE,0.024316643717223835,343.14,360.43100000000004
2022-07-19,ALPH,Alpha Tech,Technology,352.03,356.11,348.38,350.4,184349.0,7568547910,NSE,-0.004630287191432536,344.866,359.13649999999996
2022-07-20,ALPH,Alpha Tech,Technology,346.66,346.69,341.9,345.25,127121.0,18277147885,NSE,-0.004067385911267596,345.896,357.9445
2022-07-21,ALPH,Alpha Tech,Technology,345.9,347.56,340.6,345.03,121753.0,44812246702,NSE,-0.002515177797051184,346.212,356.39649999999995
2022-07-25,ALPH,Alpha Tech,Technology,345.7,346.97,339.5,344.04,195674.0,28493515764,NSE,-0.0048018513161699975,346.87,354.96349999999995
2022-07-26,ALPH,Alpha Tech,Technology,344.41,346.32,342.71,345.4,268637.0,32186299738,NSE,0.0028744809964866068,346.024,353.74
2022-07-27,ALPH,Alpha Tech,Technology,347.06,347.2,342.68,343.64,897441.0,7362646960,NSE,-0.009854203884054676,344.67199999999997,351.954
2022-07-28,ALPH,Alpha Tech,Technology,344.59,348.0,343.57,345.93,523808.0,43074501048,NSE,0.0038886793000378187,344.808,350.445
2022-07-29,ALPH,Alpha Tech,Technology,-345.39,346.28,340.72,341.47,584417.0,6774884818,NSE,-1.9886505110165322,344.096,348.8745
2022-08-01,ALPH,Alpha Tech,Technology,342.99,344.73,336.59,339.3,755788.0,18106572796,NSE,-0.010758331146680655,343.148,347.401
2022-08-02,ALPH,Alpha Tech,Technology,340.13,349.18,337.64,347.63,832168.0,11376788621,NSE,0.022050392496986447,343.59400000000005,346.4895
2022-08-04,ALPH,Alpha Tech,Technology,348.19,353.08,343.43,343.69,218972.0,48454186211,NSE,-0.012923978287716477,343.604,345.43899999999996
2022-08-05,ALPH,Alpha Tech,Technology,343.91,347.77,343.46,346.81,633590.0,25209589070,NSE,0.008432438719432342,343.78000000000003,344.98199999999997
2022-08-08,ALPH,Alpha Tech,Technology,345.23,350.88,342.54,347.12,578975.0,15957600064,NSE,0.005474611128812636,344.90999999999997,344.6955
2022-08-09,ALPH,Alpha Tech,Technology,350.3,352.28,348.01,348.26,243139.0,13005934729,NSE,-0.005823579788752556,346.702,344.7145
2022-08-10,ALPH,Alpha Tech,Technology,348.37,356.13,345.31,352.75,632401.0,22190886889,NSE,0.012572839222665543,347.726,345.121
2022-08-11,ALPH,Alpha Tech,Technology,352.43,354.46,347.41,350.72,791998.0,35702983522,NSE,-0.004852027352949464,349.132,345.5685
2022-08-12,ALPH,Alpha Tech,Technology,352.37,355.24,349.78,352.66,669827.0,36684875927,NSE,0.0008229985526577758,350.302,346.1965
2022-08-15,ALPH,Alpha Tech,Technology,351.99,359.19,348.99,358.67,350405.0,33225655965,NSE,0.018977811869655407,352.61199999999997,346.9575
2022-08-17,ALPH,Alpha Tech,Technology,356.62,363.11,354.37,359.41,795928.0,35718058447,NSE,0.007823453535976728,354.842,347.8905
2022-08-18,ALPH,Alpha Tech,Technology,358.87,364.02,354.33,354.44,448121.0,13030301719,NSE,-0.012344302950929325,355.18,348.131
2022-08-19,ALPH,Alpha Tech,Technology,354.47,354.87,354.09,354.38,579123.0,31388946574,NSE,-0.00025390018901467494,355.912,348.33000000000004
2022-08-22,ALPH,Alpha Tech,Technology,353.23,353.29,349.95,351.04,377896.0,45108815089,NSE,-0.006199926393567924,355.588,348.6195
2022-08-23,ALPH,Alpha Tech,Technology,349.62,350.55,346.61,350.04,807115.0,43050584958,NSE,0.0012013042732109602,353.86199999999997,348.87
2022-08-24,ALPH,Alpha Tech,Technology,344.74,351.6,340.59,349.11,896290.0,7323646093,NSE,0.012676219759819007,351.802,349.12350000000004
2022-08-25,ALPH,Alpha Tech,Technology,348.42,351.24,345.38,346.93,401338.0,22168813611,NSE,-0.004276447965099618,350.3,349.2
2022-08-26,ALPH,Alpha Tech,Technology,344.71,353.59,342.17,351.72,764532.0,35496446382,NSE,0.020335934553682947,349.768,349.60400000000004
2022-08-30,ALPH,Alpha Tech,Technology,346.21,349.54,345.46,349.06,532067.0,16993779814,NSE,0.008231997920337434,349.372,349.7605
2022-08-31,ALPH,Alpha Tech,Technology,350.48,352.98,348.16,352.26,749813.0,20818942571,NSE,0.005078749144030965,349.816,350.3
2022-09-01,ALPH,Alpha Tech,Technology,350.09,353.74,349.48,352.56,768891.0,36155595445,NSE,0.007055328629780992,350.506,350.963
2022-09-02,ALPH,Alpha Tech,Technology,-353.21,355.06,347.84,348.21,401603.0,42270054959,NSE,-1.9858441153987714,350.762,350.992
2022-09-05,ALPH,Alpha Tech,Technology,347.16,352.76,344.34,351.36,716113.0,49234530666,NSE,0.01209816799170408,350.69,351.3755
2022-09-06,ALPH,Alpha Tech,Technology,348.24,353.23,344.73,350.67,416797.0,11370330117,NSE,0.006977946243969696,351.012,351.56850000000003
2022-09-07,ALPH,Alpha Tech,Technology,346.5,353.71,346.31,353.29,833247.0,6268006448,NSE,0.019595959595959656,351.218,351.877
2022-09-08,ALPH,Alpha Tech,Technology,352.2,353.87,349.99,353.8,693419.0,9181592277,NSE,0.004542873367404949,351.466,352.15400000000005
2022-09-09,ALPH,Alpha Tech,Technology,354.02,355.35,353.91,354.63,400096.0,44643056638,NSE,0.0017230664934184895,352.75,352.248
2022-09-12,ALPH,Alpha Tech,Technology,355.24,357.94,346.91,348.4,362801.0,17190565105,NSE,-0.01925458844724702,352.158,352.132
2022-09-13,ALPH,Alpha Tech,Technology,348.74,348.78,347.31,348.01,423939.0,38451827316,NSE,-0.0020932499856627235,351.626,351.89950000000005
2022-09-15,ALPH,Alpha Tech,Technology,348.82,350.88,341.07,342.01,483629.0,41639731966,NSE,-0.019522963132847893,349.37,351.0665
2022-09-16,ALPH,Alpha Tech,Technology,342.52,349.79,340.5,346.46,605254.0,30213162960,NSE,0.011502977928296151,347.902,350.419
2022-09-19,ALPH,Alpha Tech,Technology,342.77,344.02,337.6,337.66,890785.0,22035988702,NSE,-0.014907955772091948,344.508,349.58
2022-09-20,ALPH,Alpha Tech,Technology,338.69,339.06,334.28,335.79,684384.0,10865959195,NSE,-0.008562402196698978,341.986,348.6505
2022-09-21,ALPH,Alpha Tech,Technology,-334.56,336.41,326.23,328.94,576877.0,49532736317,NSE,-1.9832018173122907,338.172,347.5455
2022-09-22,ALPH,Alpha Tech,Technology,326.99,333.1,321.72,331.2,769567.0,30513359423,NSE,0.012875011468240556,336.01000000000005,346.6035
2022-09-26,ALPH,Alpha Tech,Technology,331.78,337.38,331.58,332.26,586819.0,49247569863,NSE,0.0014467418168666534,333.16999999999996,345.761
2022-09-27,ALPH,Alpha Tech,Technology,334.56,334.63,328.21,331.75,419149.0,39342246566,NSE,-0.008399091343854621,331.988,345.002
2022-09-28,ALPH,Alpha Tech,Technology,330.5,339.16,329.37,337.74,507524.0,28423221574,NSE,0.021906202723146775,332.378,344.303
2022-09-29,ALPH,Alpha Tech,Technology,339.01,344.14,335.87,342.9,539486.0,16710654191,NSE,0.011474587770272224,335.16999999999996,343.995
2022-09-30,ALPH,Alpha Tech,Technology,341.45,341.59,339.21,340.46,745558.0,26266623031,NSE,-0.002899399619270784,337.02200000000005,343.405
2022-10-04,ALPH,Alpha Tech,Technology,341.58,347.57,340.66,345.9,776149.0,6540492440,NSE,0.012647110486562425,339.74999999999994,343.072
2022-10-05,ALPH,Alpha Tech,Technology,345.76,346.62,338.7,339.11,576805.0,48343407307,NSE,-0.019232993984266478,341.22200000000004,342.617
2022-10-06,ALPH,Alpha Tech,Technology,339.66,341.82,332.44,334.55,153035.0,29854093531,NSE,-0.015044456220926847,340.58399999999995,341.7765
2022-10-07,ALPH,Alpha Tech,Technology,334.47,337.25,334.41,337.2,171942.0,20265206210,NSE,0.008162167010494098,339.444,341.10299999999995
2022-10-10,ALPH,Alpha Tech,Technology,339.07,339.27,336.09,337.01,254721.0,7559721644,NSE,-0.006075441649216982,338.754,340.289
2022-10-11,ALPH,Alpha Tech,Technology,336.14,336.58,333.95,334.9,666456.0,10044426727,NSE,-0.003688939132504341,336.554,339.34399999999994
2022-10-13,ALPH,Alpha Tech,Technology,336.73,339.58,333.76,337.52,877747.0,41167750206,NSE,0.002346093309179353,336.236,338.48850000000004
2022-10-14,ALPH,Alpha Tech,Technology,338.05,341.77,335.92,341.61,479625.0,45859045895,NSE,0.010530986540452602,337.648,338.149
2022-10-17,ALPH,Alpha Tech,Technology,340.58,350.81,339.85,346.21,145471.0,42189705526,NSE,0.016530624229255962,339.45,338.05899999999997
2022-10-19,ALPH,Alpha Tech,Technology,350.29,352.98,347.33,349.17,847006.0,38971906371,NSE,-0.0031973507665077634,341.88199999999995,338.41700000000003
2022-10-20,ALPH,Alpha Tech,Technology,347.16,347.23,343.62,344.09,168872.0,22721857932,NSE,-0.00884318469869815,343.71999999999997,338.2985
2022-10-21,ALPH,Alpha Tech,Technology,347.19,349.16,342.77,343.2,499407.0,47926599338,NSE,-0.011492266482329587,344.856,338.57550000000003
2022-10-24,ALPH,Alpha Tech,Technology,343.1,348.04,342.33,345.8,203996.0,21602163102,NSE,0.007869425823375076,345.69399999999996,339.07599999999996
